12300 elements of T-matrix
s sp m mp n np Tr Ti 
1 1 0 0 1 1 -0.0184725426215769 0.104264810500217
1 1 0 0 1 3 -0.00561377007692671 0.0251335221093972
1 1 0 0 1 5 -0.000768530011434328 0.000962151551389619
1 1 0 0 1 7 2.45082245511696e-06 -0.00070485687098603
1 1 0 0 1 9 1.7363727848121e-05 -0.000148527500278254
1 1 0 0 1 11 3.00295370256191e-06 -1.0901087735606e-05
1 1 0 0 1 13 2.80806994107703e-07 4.60103557597009e-07
1 1 0 0 1 15 1.59222319658982e-08 1.92150117379054e-07
1 1 0 0 1 17 4.22186845418964e-10 2.35095939057828e-08
1 1 0 0 1 19 -1.59700414794794e-11 1.8719429899215e-09
1 1 0 0 1 21 -2.60141554276664e-12 1.11810113360761e-10
1 1 0 0 1 23 -1.74410387077103e-13 5.32095142231258e-12
1 1 0 0 1 25 -8.24548124871907e-15 2.08819654160607e-13
1 1 0 0 3 1 -0.0056137710287694 0.0251335246608662
1 1 0 0 3 3 -0.00665833070257388 0.0495126480188521
1 1 0 0 3 5 -0.0030248313534502 0.0218697439837887
1 1 0 0 3 7 -0.000703393781352787 0.00407809333339565
1 1 0 0 3 9 -9.42997034413341e-05 0.000241624677995643
1 1 0 0 3 11 -6.96509827646863e-06 -4.59505532613435e-05
1 1 0 0 3 13 -9.23221974702298e-08 -1.29656625792583e-05
1 1 0 0 3 15 4.28296774395316e-08 -1.69683446337243e-06
1 1 0 0 3 17 5.98095238097725e-09 -1.50927704858187e-07
1 1 0 0 3 19 4.85766879565441e-10 -1.01434171021517e-08
1 1 0 0 3 21 2.89286492261295e-11 -5.42337204207607e-10
1 1 0 0 3 23 1.36386956778382e-12 -2.38158394200655e-11
1 1 0 0 3 25 5.29421301950296e-14 -8.78321834734361e-13
1 1 0 0 5 1 -0.000768530233579172 0.000962152267728198
1 1 0 0 5 3 -0.0030248307275574 0.0218697486936215
1 1 0 0 5 5 -0.00259872691576336 0.0242606730076069
1 1 0 0 5 7 -0.00103414448475443 0.0106486885640551
1 1 0 0 5 9 -0.000243743539467774 0.00261960986001136
1 1 0 0 5 11 -3.85065634055824e-05 0.000420315203691116
1 1 0 0 5 13 -4.39282052981562e-06 4.78976701691402e-05
1 1 0 0 5 15 -3.80480918768052e-07 4.09480531639505e-06
1 1 0 0 5 17 -2.5934554499462e-08 2.72847110402136e-07
1 1 0 0 5 19 -1.42996738175691e-09 1.45744158148955e-08
1 1 0 0 5 21 -6.5145982287725e-11 6.37594085160609e-10
1 1 0 0 5 23 -2.49520379749971e-12 2.32319066998093e-11
1 1 0 0 5 25 -8.15169734973869e-14 7.14445425009904e-13
1 1 0 0 7 1 2.45075573070819e-06 -0.00070485569349115
1 1 0 0 7 3 -0.000703391910139588 0.00407808620282329
1 1 0 0 7 5 -0.00103414314258138 0.0106486804631775
1 1 0 0 7 7 -0.000589345856117693 0.00729813973001045
1 1 0 0 7 9 -0.000182885300130428 0.00248330089753205
1 1 0 0 7 11 -3.62019582634029e-05 0.000519634401405414
1 1 0 0 7 13 -5.01019554224201e-06 7.46506882521928e-05
1 1 0 0 7 15 -5.14758552138116e-07 7.87856777705718e-06
1 1 0 0 7 17 -4.09491908755929e-08 6.39587969022145e-07
1 1 0 0 7 19 -2.60224343805962e-09 4.12998802785857e-08
1 1 0 0 7 21 -1.35366771633011e-10 2.17605400313243e-09
1 1 0 0 7 23 -5.87576468005074e-12 9.54530244914992e-11
1 1 0 0 7 25 -2.16193681952564e-13 3.54313843966837e-12
1 1 0 0 9 1 1.73639098834813e-05 -0.000148527878533209
1 1 0 0 9 3 -9.43002292774375e-05 0.000241625115227552
1 1 0 0 9 5 -0.000243745178905504 0.00261961520279631
1 1 0 0 9 7 -0.000182886002927708 0.0024833038399181
1 1 0 0 9 9 -6.79419683371629e-05 0.00102159286276719
1 1 0 0 9 11 -1.53390491895128e-05 0.000244300107699743
1 1 0 0 9 13 -2.35086436059962e-06 3.88558816896361e-05
1 1 0 0 9 15 -2.62195864166832e-07 4.44792944027828e-06
1 1 0 0 9 17 -2.23295131944148e-08 3.86050217040581e-07
1 1 0 0 9 19 -1.50255294666156e-09 2.63648940872798e-08
1 1 0 0 9 21 -8.20640724146401e-11 1.45712232270858e-09
1 1 0 0 9 23 -3.71567408642169e-12 6.66057691803258e-11
1 1 0 0 9 25 -1.41834860470975e-13 2.56249432530153e-12
1 1 0 0 11 1 3.00294924653503e-06 -1.09011735259809e-05
1 1 0 0 11 3 -6.96519462995117e-06 -4.59499661999645e-05
1 1 0 0 11 5 -3.85060070606773e-05 0.000420313734432124
1 1 0 0 11 7 -3.62014485459086e-05 0.000519631957006195
1 1 0 0 11 9 -1.53389478342921e-05 0.00024429925781395
1 1 0 0 11 11 -3.79437501461194e-06 6.38563150374726e-05
1 1 0 0 11 13 -6.22989499676749e-07 1.08484826473405e-05
1 1 0 0 11 15 -7.33546330178684e-08 1.30769514200994e-06
1 1 0 0 11 17 -6.53121140156942e-09 1.18372178687795e-07
1 1 0 0 11 19 -4.56169214989281e-10 8.36984286094832e-09
1 1 0 0 11 21 -2.56926869144061e-11 4.76266475304924e-10
1 1 0 0 11 23 -1.19423934840223e-12 2.23205685191643e-11
1 1 0 0 11 25 -4.66391740411245e-14 8.77435393265419e-13
1 1 0 0 13 1 2.80796144591004e-07 4.60155853043024e-07
1 1 0 0 13 3 -9.22763764122478e-08 -1.29658256896699e-05
1 1 0 0 13 5 -4.39288113404571e-06 4.78976519160597e-05
1 1 0 0 13 7 -5.01035055113904e-06 7.46517601769559e-05
1 1 0 0 13 9 -2.35092092587987e-06 3.88567472564821e-05
1 1 0 0 13 11 -6.22990512605385e-07 1.0848711248365e-05
1 1 0 0 13 13 -1.07673589988942e-07 1.93466867779194e-06
1 1 0 0 13 15 -1.3198925488009e-08 2.42224622501998e-07
1 1 0 0 13 17 -1.214071978064e-09 2.26173959405219e-08
1 1 0 0 13 19 -8.72341076728651e-11 1.64112056988189e-09
1 1 0 0 13 21 -5.02913365965179e-12 9.53994730303519e-11
1 1 0 0 13 23 -2.38212219012426e-13 4.55302630466394e-12
1 1 0 0 13 25 -9.45791678507134e-15 1.81844775143914e-13
1 1 0 0 15 1 1.59327130618165e-08 1.92134089269001e-07
1 1 0 0 15 3 4.27849430645051e-08 -1.69677321323097e-06
1 1 0 0 15 5 -3.80440657613462e-07 4.09478374829278e-06
1 1 0 0 15 7 -5.14587072002589e-07 7.87824188090569e-06
1 1 0 0 15 9 -2.62089967740251e-07 4.44762051538402e-06
1 1 0 0 15 11 -7.33248495735562e-08 1.30757042980626e-06
1 1 0 0 15 13 -1.3193218040039e-08 2.42197956068246e-07
1 1 0 0 15 15 -1.66938559388973e-09 3.12390394983067e-08
1 1 0 0 15 17 -1.57443182004463e-10 2.98894885443437e-09
1 1 0 0 15 19 -1.15656935627909e-11 2.21499812117604e-10
1 1 0 0 15 21 -6.80539843168299e-13 1.31004889979005e-11
1 1 0 0 15 23 -3.27264314149613e-14 6.34080655385381e-13
1 1 0 0 15 25 -1.31518399424097e-15 2.5640027138115e-14
1 1 0 0 17 1 4.32276039044389e-10 2.34793900080314e-08
1 1 0 0 17 3 5.93658543747461e-09 -1.50803415641573e-07
1 1 0 0 17 5 -2.5895654637915e-08 2.72755072964201e-07
1 1 0 0 17 7 -4.07661532105027e-08 6.39080081309319e-07
1 1 0 0 17 9 -2.21941656403848e-08 3.85649257286811e-07
1 1 0 0 17 11 -6.48433439918725e-09 1.1821290927333e-07
1 1 0 0 17 13 -1.20472534643354e-09 2.25785836868945e-08
1 1 0 0 17 15 -1.56355256274051e-10 2.98339079477421e-09
1 1 0 0 17 17 -1.50478902088397e-11 2.9108702391914e-10
1 1 0 0 17 19 -1.12266000295497e-12 2.19543409544752e-11
1 1 0 0 17 21 -6.72559651166568e-14 1.31913239566718e-12
1 1 0 0 17 23 -3.28509087894247e-15 6.45977102013524e-14
1 1 0 0 17 25 -1.33222279645077e-16 2.63675958988211e-15
1 1 0 0 19 1 -1.14347707348517e-11 1.85276966356112e-09
1 1 0 0 19 3 4.6537523781161e-10 -1.00646997757448e-08
1 1 0 0 19 5 -1.41078235685983e-09 1.45152533611553e-08
1 1 0 0 19 7 -2.52012138619334e-09 4.09821354992484e-08
1 1 0 0 19 9 -1.44372722944413e-09 2.61315112938404e-08
1 1 0 0 19 11 -4.35840235408575e-10 8.28781953479109e-09
1 1 0 0 19 13 -8.2956523374715e-11 1.62312024337089e-09
1 1 0 0 19 15 -1.09735593126577e-11 2.18754732755993e-10
1 1 0 0 19 17 -1.07345357244398e-12 2.16848172414254e-11
1 1 0 0 19 19 -8.09384085548684e-14 1.65754840090569e-12
1 1 0 0 19 21 -4.89562003982845e-15 1.01098024724519e-13
1 1 0 0 19 23 -2.43436574489442e-16 5.01243651817381e-15
1 1 0 0 19 25 -9.98087381314265e-18 2.06057152260616e-16
1 1 0 0 21 1 -1.54103739591768e-12 1.0558784890714e-10
1 1 0 0 21 3 2.40311471438365e-11 -5.16820501013987e-10
1 1 0 0 21 5 -6.028585347819e-11 6.18546123868915e-10
1 1 0 0 21 7 -1.15651078301123e-10 2.07280933241013e-09
1 1 0 0 21 9 -6.81078876628241e-11 1.38140575617418e-09
1 1 0 0 21 11 -2.09388857847204e-11 4.50109039260656e-10
1 1 0 0 21 13 -4.04066687911632e-12 8.9915129618034e-11
1 1 0 0 21 15 -5.40409981614108e-13 1.2309774139518e-11
1 1 0 0 21 17 -5.33446134301717e-14 1.2361044973633e-12
1 1 0 0 21 19 -4.06072634903501e-15 9.53542653086042e-14
1 1 0 0 21 21 -2.45223162797746e-16 5.87562766243587e-15
1 1 0 0 21 23 -1.23058027416598e-17 2.95923205745587e-16
1 1 0 0 21 25 -5.15496036596064e-19 1.22756733277847e-17
1 1 0 0 23 1 -3.91850129135403e-14 4.16448945518592e-12
1 1 0 0 23 3 7.12876564889682e-13 -1.90863949547176e-11
1 1 0 0 23 5 -1.79950027553533e-12 1.9740014397798e-11
1 1 0 0 23 7 -3.25976967383361e-12 7.62969534484032e-11
1 1 0 0 23 9 -1.882730918422e-12 5.25242004378655e-11
1 1 0 0 23 11 -5.73286772432664e-13 1.74529827576924e-11
1 1 0 0 23 13 -1.10001893181434e-13 3.53695123092632e-12
1 1 0 0 23 15 -1.46553256632657e-14 4.89775763680512e-13
1 1 0 0 23 17 -1.4424386154031e-15 4.96469719203757e-14
1 1 0 0 23 19 -1.0953787535292e-16 3.86041792801447e-15
1 1 0 0 23 21 -6.62932476379167e-18 2.38272685161241e-16
1 1 0 0 23 23 -3.24270040480197e-19 1.21529747963104e-17
1 1 0 0 23 25 -1.40034550116909e-20 5.14641512831983e-19
1 1 0 0 25 1 7.60829289920286e-16 8.63026255530742e-14
1 1 0 0 25 3 6.51127791530642e-15 -3.80459754314969e-13
1 1 0 0 25 5 -2.63874526179652e-14 3.55720884881069e-13
1 1 0 0 25 7 -3.05583836887723e-14 1.52259881790391e-12
1 1 0 0 25 9 -1.38042420343835e-14 1.07046893979659e-12
1 1 0 0 25 11 -3.50762316230517e-15 3.60227276501503e-13
1 1 0 0 25 13 -5.79696676707342e-16 7.36834422196488e-14
1 1 0 0 25 15 -6.76930122666679e-17 1.02788925761003e-14
1 1 0 0 25 17 -5.89841337676343e-18 1.04834332954474e-15
